Topic,Count,Name,Representation,Representative_Docs,Representation_Clean,Name_Clean
9,69,9_roupa_sarrando_lentamente_arrocha,"['roupa', 'sarrando', 'lentamente', 'arrocha', 'nela', 'tirar roupa', 'louca', 'arrocha arrocha', 'lembrança boa', 'tirar']","['Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin', 'Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício', 'Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama']","['roupa', 'sarrando', 'lentamente', 'arrocha', 'nela', 'tirar roupa', 'louca', 'arrocha arrocha', 'lembrança boa', 'tirar']",9_roupa_sarrando_lentamente_arrocha
10,69,10_hoje_hoje rolar_melhor_fechar,"['hoje', 'hoje rolar', 'melhor', 'fechar', 'rolar', 'infelizmente', 'preocupa', 'posso', 'favor', 'perdeu']","['Hoje não sou mais seu Hoje não, me perdeu Hoje não vai rolar Não, não, não, não', 'Hoje não, sou mais seu Hoje não, me perdeu Hoje não vai rolar Hoje não vai me pegar Hoje não, sou mais seu Hoje não, me perdeu Hoje não, vai rolar Não, não, não, não', 'Hoje não, sou mais seu Hoje não, me perdeu Hoje não vai rolar Hoje não vai me pegar Hoje não sou mais seu Hoje não, me perdeu Hoje não vai rolar Não, não, não, não']","['hoje', 'hoje rolar', 'melhor', 'fechar', 'rolar', 'infelizmente', 'preocupa', 'posso', 'favor', 'perdeu']",10_hoje_hoje-rolar_melhor_fechar
11,67,11_mãos_coração mãos_cuidado_santo santo,"['mãos', 'coração mãos', 'cuidado', 'santo santo', 'santo', 'cuidado cuidado', 'querendo querendo', 'coração', 'querendo', 'traz volta']","['Cuidado, Muito cuidado, Cuidado, Que meu coração está em suas mãos', 'Cuidado, cuidado, muito cuidado (oh) Que o meu coração está em suas mãos Está em suas mãos Que o meu coração está em suas mãos', 'Cuidado, Cuidado, Que o meu coração está em suas mãos Que meu coração está em suas mãos Que meu coração está em suas mãos']","['mãos', 'coração mãos', 'cuidado', 'santo santo', 'santo', 'cuidado cuidado', 'querendo querendo', 'coração', 'querendo', 'traz volta']",11_mãos_coração-mãos_cuidado_santo-santo
12,64,12_todo mundo_mundo_todo_mundo todo,"['todo mundo', 'mundo', 'todo', 'mundo todo', 'escolhi', 'vê todo', 'viva', 'mundo menos', 'sorte', 'vê']","['Todo mundo Todo mundo, todo mundo vê Todo mundo (só queria que você soubesse) Todo mundo, todo mundo vê Todo mundo (que toda minha mudança é genuína) Todo mundo, todo mundo vê (genuinamente por você) Todo mundo, menos você', 'Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você', 'Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você (todo mundo, todo mundo, todo mundo vê) Todo mundo, menos você']","['todo mundo', 'mundo', 'todo', 'mundo todo', 'escolhi', 'vê todo', 'viva', 'mundo menos', 'sorte', 'vê']",12_todo-mundo_mundo_todo_mundo-todo
13,61,13_romântico_jeito_mesmo sabendo_amar precisa,"['romântico', 'jeito', 'mesmo sabendo', 'amar precisa', 'defeitos', 'fiz', 'merecia', 'aceitou', 'escolheu', 'nasci']","['Alguém pra me amar Precisa me aceitar Assim como eu sou Imperfeita, amor Quem quiser me amar Precisa ter o dom Bem mais que seduzir Navegar em mim Navegar em mim Navegar em mim', 'Mesmo conhecendo todos os meus erros Mesmo sabendo todos os meus defeitos Por que me escolheu? Mesmo sabendo que, eu fraco sou Mesmo sabendo que eu falho sou, porque me Escolheu?', 'Mesmo conhecendo todos os meus erros Mesmo sabendo todos os meus defeitos Por que me escolheu? Mesmo sabendo que, eu fraco sou Mesmo sabendo que, eu falho sou, porque me Escolheu?']","['romântico', 'jeito', 'mesmo sabendo', 'amar precisa', 'defeitos', 'fiz', 'merecia', 'aceitou', 'escolheu', 'nasci']",13_romântico_jeito_mesmo-sabendo_amar-precisa
14,60,14_chora_chamo_louco_pensar,"['chora', 'chamo', 'louco', 'pensar', 'às vezes', 'às', 'amar', 'queria amo', 'vezes', 'esquentar']","['Já dei tempo ao tempo, mas o tempo não me ajuda Se tento te esquecer, só faço te querer Tá no meu pensamento, sentimento que não muda Tô louco para te ver, só quero amar você Só quero amar você', 'Chora com vontade de te ver Chora com saudade de você Chora às vezes eu nem sei por que Deve ser de tanto te querer Iê iê, de tanto amar você Iê iê', 'Chora com vontade de te ver Chora com saudade de você Chora às vezes eu nem sei por que Deve ser de tanto te querer Iê iê, de tanto amar você']","['chora', 'chamo', 'louco', 'pensar', 'às vezes', 'às', 'amar', 'queria amo', 'vezes', 'esquentar']",14_chora_chamo_louco_pensar
15,58,15_celular_esqueci_pensa tanto_chip,"['celular', 'esqueci', 'pensa tanto', 'chip', 'esquecendo', 'ligando', 'passei noite', 'dono desse', 'vó estourado', 'saindo']","['Eu esqueci que do lado daí Cê também tá me esquecendo Tá saindo e vivendo Te esqueci só até quando te vi Esbarrei com o passado E o mês inteiro foi por água abaixo', 'Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana', 'Oi, cheguei a ver seu sofrimento na mensagem Não é qualquer um que tem essa maturidade Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana']","['celular', 'esqueci', 'pensa tanto', 'chip', 'esquecendo', 'ligando', 'passei noite', 'dono desse', 'vó estourado', 'saindo']",15_celular_esqueci_pensa-tanto_chip
16,50,16_esquecer_levo_gente amar_longe,"['esquecer', 'levo', 'gente amar', 'longe', 'amar longe', 'esqueça for', 'for capaz', 'saudade', 'esqueça', 'doer']","['Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe', 'Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe', 'Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui']","['esquecer', 'levo', 'gente amar', 'longe', 'amar longe', 'esqueça for', 'for capaz', 'saudade', 'esqueça', 'doer']",16_esquecer_levo_gente-amar_longe
17,50,17_cuido_aceito_faltar_entregar coração,"['cuido', 'aceito', 'faltar', 'entregar coração', 'coração', 'dona', 'entregar', 'pedir', 'cuida', 'cuidar mim']","['Eu não vou parar Eu vou mimar você até quando eu puder Se isso é um defeito você pode até pedir pra eu parar Ahhh Mas isso é tão bom Eu cuido de você, você cuida de mim Se existe outro jeito eu prefiro assim E quer saber Eu vou te amar', 'Eu quero o seu amor Eu quero ser seu homem, se você quiser Se eu tiver seu amor Juro, não preciso amar outra mulher Não deixe apagar a fogueira do meu coração Não deixe apagar a fogueira do meu coração', 'Eu quero o seu amor Eu quero ser seu homem, se você quiser Se eu tiver seu amor Juro, não preciso amar outra mulher Não deixe apagar a fogueira do meu coração']","['cuido', 'aceito', 'faltar', 'entregar coração', 'coração', 'dona', 'entregar', 'pedir', 'cuida', 'cuidar mim']",17_cuido_aceito_faltar_entregar-coração
18,49,18_mentirosa_caiu_desculpa ser_ser cara,"['mentirosa', 'caiu', 'desculpa ser', 'ser cara', 'arrumou', 'cadê', 'jogando', 'verde', 'desculpa', 'mente']","['Eu tô jogando verde Foi pra testar você Caiu bem direitinho E agora vai me perder Eu tô jogando verde Você acreditou Caiu bem direitinho Você mesmo se entregou', 'Você gosta de ser enganada E na vida, eu faltei nessa aula Desculpa não ser esse cara', 'Você gosta de ser enganada E na vida eu faltei nessa aula Desculpa não ser esse cara Desculpa não ser esse cara Desculpa não ser esse cara']","['mentirosa', 'caiu', 'desculpa ser', 'ser cara', 'arrumou', 'cadê', 'jogando', 'verde', 'desculpa', 'mente']",18_mentirosa_caiu_desculpa-ser_ser-cara
19,47,19_sabe amor_amor gente_amor_penso,"['sabe amor', 'amor gente', 'amor', 'penso', 'relação', 'perto', 'perto perto', 'espero', 'tempo', 'estamos']","['Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Ooh, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto, coração', 'Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Mesmo assim eu te espero, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto', 'Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Mesmo assim eu te espero, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto, coração']","['sabe amor', 'amor gente', 'amor', 'penso', 'relação', 'perto', 'perto perto', 'espero', 'tempo', 'estamos']",19_sabe-amor_amor-gente_amor_penso
20,45,20_chegou_mistérios_voou_amor,"['chegou', 'mistérios', 'voou', 'amor', 'voou voou', 'noite', 'coração', 'leva casa', 'entreguei', 'feliz']","['Nunca pensei que um dia fosse ser assim Você chegou sem dizer nada, tomou conta de mim Antes de você chegar só tinha solidão Somente marcas e feridas no meu coração Amor você é tudo que eu preciso Com você eu tô no céu, eu tô no paraíso', 'Mas você chegou e trouxe a paz Pro coração eu sei Transformou meu mundo E me mostrou o amor que eu deixei Sorte a minha, que a vida muda Muita coisa o tempo cura E me fez viver', 'Mas você chegou e trouxe a paz Pro coração, eu sei Transformou meu mundo E me mostrou o amor que eu deixei Sorte a minha que a vida muda Muita coisa o tempo cura E me fez viver']","['chegou', 'mistérios', 'voou', 'amor', 'voou voou', 'noite', 'coração', 'leva casa', 'entreguei', 'feliz']",20_chegou_mistérios_voou_amor
21,42,21_faz tempo_será_acostumou_quê,"['faz tempo', 'será', 'acostumou', 'quê', 'fazendo mesmo', 'calada', 'preciso ouvir', 'ouço voz', 'fazendo', 'ouço']","['Como é que tá aí? De você faz tempo que não ouço nada Fala um pouco, sua voz tá tão calada Sei que agora deve estar impressionando os anjos com sua risada', 'Mas de você faz tempo que não ouço nada Fala um pouco, sua voz tá tão calada Aí de cima, fala alto que eu preciso ouvir Como é que tá aí?', 'Mas de você faz tempo que não ouço nada Fala um pouco, sua voz tá tão calada Aí de cima, fala alto que eu preciso ouvir Como é que tá ai?']","['faz tempo', 'será', 'acostumou', 'quê', 'fazendo mesmo', 'calada', 'preciso ouvir', 'ouço voz', 'fazendo', 'ouço']",21_faz-tempo_será_acostumou_quê
22,42,22_boi_cavalo_berrante_sertão,"['boi', 'cavalo', 'berrante', 'sertão', 'gado', 'mato', 'plantou', 'caipira', 'escutando', 'bão']","['Não teve grito, nem rolo, nem nada Apertei um pouco, cê entregou ligeiro Já sei o dia, a hora E se não bastasse, até o nome do companheiro Cê plantou isso e vai morrer de fome Faz uma mágica aí pra gente', 'Pego meu cavalo e saio pelo pasto Toco meu berrante apartando o gado Sei que sou caipira, mas vivo melhor Morando aqui no mato Morando aqui no mato', 'Pego meu cavalo e saio pelo pasto Toco meu berrante apartando o gado Sei que sou caipira, mas vivo melhor Morando aqui no mato']","['boi', 'cavalo', 'berrante', 'sertão', 'gado', 'mato', 'plantou', 'caipira', 'escutando', 'bão']",22_boi_cavalo_berrante_sertão
23,41,23_perdoa_amor_preciso_diga,"['perdoa', 'amor', 'preciso', 'diga', 'amor amor', 'bobeira', 'sim', 'preciso aqui', 'volta mim', 'aqui comigo']","['Chega mais perto Vai, quero te encontrar Quero saber onde você está Chega mais perto Vai, quero te ouvir falar Falar de amor pra quem não sabe amar Não quero mais saber de nada Nem mesmo te deixar e fugir na hora errada Entenda a melhor saída É te ter de vez na minha vida', 'Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim', 'Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim']","['perdoa', 'amor', 'preciso', 'diga', 'amor amor', 'bobeira', 'sim', 'preciso aqui', 'volta mim', 'aqui comigo']",23_perdoa_amor_preciso_diga
24,40,24_levar_toda vida_viola_passe,"['levar', 'toda vida', 'viola', 'passe', 'frente ao', 'violão', 'mesmo', 'mesmo sol', 'praia', 'moça']","['Eu te esperarei, nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse eu voltarei Mesmo que passe toda a minha vida, eu te esperarei', 'Nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse eu voltarei Mesmo que passe toda a minha vida, eu te esperarei', 'Eu te esperarei, nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse ""eu voltarei"" Mesmo que passe toda minha vida, eu te esperarei']","['levar', 'toda vida', 'viola', 'passe', 'frente ao', 'violão', 'mesmo', 'mesmo sol', 'praia', 'moça']",24_levar_toda-vida_viola_passe
25,39,25_girando_dia esquecer_esquecer_pó,"['girando', 'dia esquecer', 'esquecer', 'pó', 'deixo', 'voou', 'ninho', 'ondas', 'passado', 'perdendo']","['Sei Que o pra sempre virou pó E na cabeça deu um nó Mas eu tô bem consciente Mas amei Amei sozinho, mas por dois Me conformei que agora, e não depois Vou ter que seguir em frente', 'O relógio tá girando, tá girando Tá girando e eu aqui perdendo tempo Cheguei no meu limite, se não mudar sua postura Eu vou embora correndo', 'O relógio tá girando, tá girando Tá girando e você aí perdendo tempo, perdendo tempo Cheguei no meu limite, se não mudar sua postura Eu vou embora correndo']","['girando', 'dia esquecer', 'esquecer', 'pó', 'deixo', 'voou', 'ninho', 'ondas', 'passado', 'perdendo']",25_girando_dia-esquecer_esquecer_pó
26,39,26_parece_briga_romance_casal,"['parece', 'briga', 'romance', 'casal', 'amor', 'bela fera', 'fera', 'traição', 'outro', 'tudo certo']","['É por isso que o mundo tá cheio De amor que termina no meio Dando beijo que é pra vida toda e cês ficam gastando esses beijos no erro É por isso que o mundo tá cheio De coração decepcionado Eu não erro em ser um romântico, cês que adoram um desromantizado No final, a gente vira amigo E os malandro viram namorado', 'É por isso que o mundo tá cheio De amor que termina no meio Tanto beijo que é pra vida toda e cês ficam gastando esses beijos no erro É por isso que o mundo tá cheio De coração decepcionado Eu não erro em ser um romântico, cês que adoram um desromantizado No final, a gente vira amigo E os malandro viram namorado', 'Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal O que parece que faz bem pode fazer mal Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal A gente parece de tudo, só não parece um casal Só não parece um casal']","['parece', 'briga', 'romance', 'casal', 'amor', 'bela fera', 'fera', 'traição', 'outro', 'tudo certo']",26_parece_briga_romance_casal
27,39,27_chamar_gordinho_hora_moleque,"['chamar', 'gordinho', 'hora', 'moleque', 'demora', 'claro', 'compensar', 'desculpe jeito', 'horas manhã', 'quiser espero']","['Gordinho saliente, que moleque pra frente Desculpe, esse é meu jeito e ninguém vai me mudar Gordinho saliente, que moleque pra frente Eu sou a ferramenta de fazer mulher pirar', 'E se você quiser, espero por você E se você ligar, eu corro pra atender À meia-noite ou quatro horas da manhã Eu vou te encontrar Na hora em que você chamar', 'E se você quiser, espero por você E se você ligar, eu corro pra atender À meia-noite ou quatro horas da manhã Eu vou te encontrar Na hora em que você me chamar eu vou']","['chamar', 'gordinho', 'hora', 'moleque', 'demora', 'claro', 'compensar', 'desculpe jeito', 'horas manhã', 'quiser espero']",27_chamar_gordinho_hora_moleque
28,37,28_amo_noite dia_paixão_locutor,"['amo', 'noite dia', 'paixão', 'locutor', 'amar', '24 horas', '24', 'noite', 'dia passa', 'dia']","['Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado E dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, eu amo noite e dia Amo noite e dia']","['amo', 'noite dia', 'paixão', 'locutor', 'amar', '24 horas', '24', 'noite', 'dia passa', 'dia']",28_amo_noite-dia_paixão_locutor
29,36,29_chove_sentir saudade_saudade_sabe dia,"['chove', 'sentir saudade', 'saudade', 'sabe dia', 'lavar', 'invadem', 'dia', 'esta saudade', 'for embora', 'sentir']","['Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Lava do meu peito as lembranças que me invadem Por favor', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Por favor']","['chove', 'sentir saudade', 'saudade', 'sabe dia', 'lavar', 'invadem', 'dia', 'esta saudade', 'for embora', 'sentir']",29_chove_sentir-saudade_saudade_sabe-dia
