Topic,Count,Name,Representation,Representative_Docs,Representation_Clean,Name_Clean
9,99,9_perdoa_erro_culpa_perdoar,"['perdoa', 'erro', 'culpa', 'perdoar', 'errado', 'culpar', 'ser gente', 'troco', 'saber', 'depois tudo']","['Me leva lá que isso não vai ficar assim Ainda tem orgulho aqui dentro de mim Vou falar na cara dela: Depois de tudo que cê fez Eu vou te perdoar', 'Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim', 'Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim Perdoa amor! Perdoa amor! Perdoa e volta pra mim Perdoa amor! Perdoa amor! Não dá mais pra viver assim']","['perdoa', 'erro', 'culpa', 'perdoar', 'errado', 'culpar', 'ser gente', 'troco', 'saber', 'depois tudo']",9_perdoa_erro_culpa_perdoar
10,93,10_ama_usar_gosto_cama,"['ama', 'usar', 'gosto', 'cama', 'feliz', 'gente usa', 'apegar', 'drama', 'caiu', 'amar']","['Mas eu gosto assim A Mari não me ama, mas eu gosto assim A gente se pega sem se apegar A gente usa a cama só pra se usar Sem amar', 'Mas eu gosto assim Ela não me ama, mas eu gosto assim A gente se pega sem se apegar A gente usa a cama só pra se usar Sem amar', 'Você não tem limite Você não tem hora Liga pra brincar com o meu sentimento Faz propostas que sempre me apavoram Sabe o que é amar e tá perdendo tempo Você me provoca, eu entro no seu jogo Sabe dar as cartas, sabe me ganhar Me coloca sempre em prova de fogo E é tudo que eu preciso pra me entregar']","['ama', 'usar', 'gosto', 'cama', 'feliz', 'gente usa', 'apegar', 'drama', 'caiu', 'amar']",10_ama_usar_gosto_cama
11,88,11_louco_louca_louca saudade_loucura,"['louco', 'louca', 'louca saudade', 'loucura', 'romântico', 'menina', 'locutor', 'loucuras', 'loco', 'completamente']","['Sai pra lá, seu louco', 'Sou um louco romântico', 'É sério Não sei se eu termino ou se eu te interno Seu louco']","['louco', 'louca', 'louca saudade', 'loucura', 'romântico', 'menina', 'locutor', 'loucuras', 'loco', 'completamente']",11_louco_louca_louca-saudade_loucura
12,80,12_perdeu_delícia_doce_fila,"['perdeu', 'delícia', 'doce', 'fila', 'anda', 'deu valor', 'acabou', 'pego', 'leva casa', 'valor']","['Quem tanto te amava e estava sempre ao seu dispor Te valorizava, mas você nunca me deu valor Perdeu, perdeu, perdeu, perdeu Não tem apelação, reclamação Seu caso foi julgado E o seu coração está condenado a viver sem o meu Perdeu, perdeu, perdeu, perdeu', 'Perdeu perdeu, sua chance passou e o amor acabou E eu não sou mais teu, perdeu Pára de chorar e ocupe o lugar que você escolheu Perdeu, perdeu, perdeu, perdeu', 'Sua chance passou e o amor acabou E eu não sou mais teu, perdeu Pára de chorar e ocupe o lugar que você escolheu Perdeu Quem tanto te amava e estava sempre ao seu dispor Te valorizava, mas você nunca me deu valor Perdeu, perdeu, perdeu, perdeu Não tem apelação, reclamação Seu caso foi julgado E o seu coração está condenado a viver sem o meu Perdeu, perdeu, perdeu, perdeu']","['perdeu', 'delícia', 'doce', 'fila', 'anda', 'deu valor', 'acabou', 'pego', 'leva casa', 'valor']",12_perdeu_delícia_doce_fila
13,75,13_esquecer_lembrar_10_esqueci,"['esquecer', 'lembrar', '10', 'esqueci', 'esqueceu', 'tempo', 'tentei', 'há', 'cabeça', 'elo']","['Nosso amor não acabou, e ainda digo mais Vou te fazer lembrar de tudo que me prometeu há 10 anos atrás Amor e muito mais Tô pagando pra ver se você é capaz de me esquecer', 'Nosso amor não acabou, e ainda digo mais Vou te fazer lembrar de tudo que me prometeu há 10, há 10 Há 10 anos atrás Tô pagando pra ver se você é capaz de me esquecer', 'Minha cabeça diz que já se foi Mas meu coração me diz que não Ainda há um elo entre nós dois Tentar te esquecer vai ser em vão O tempo é o remédio pra curar A dor de se perder um grande amor Mas nada é capaz de apagar as lembranças que você deixou']","['esquecer', 'lembrar', '10', 'esqueci', 'esqueceu', 'tempo', 'tentei', 'há', 'cabeça', 'elo']",13_esquecer_lembrar_10_esqueci
14,71,14_balada_mulherada_dançar_mina,"['balada', 'mulherada', 'dançar', 'mina', 'pira', 'arrocha', 'farra', 'whisky', 'meio', 'galera']","['Tô cansado de sair no meio da noite e te satisfazer E um minuto depois de matar minha vontade eu me arrepender Sair de madrugada, do meio da balada Largar a minha vida pra viver você Só pra viver você', 'Cheguei na balada, doidinho pra biritar A galera tá no clima, todo mundo quer dançar O Neymar me chamou, e disse: Faz um tchu tcha tcha Perguntei o que é isso, ele disse: Vou te ensinar É uma dança sensual, em Goiânia já pegou Em Minas explodiu, em Tocantins já bombou No nordeste as mina faz, no verão vai pegar Então faz o tchu tcha tcha, o Brasil inteiro vai cantar', 'Cheguei na balada, doidinho pra biritar A galera tá no clima, todo mundo quer dançar Uma mina me chamou, e disse: Faz um tchu tcha tcha Perguntei o que é isso, ela disse: Eu vou te ensinar É uma dança sensual, em Goiânia já pegou Em Minas explodiu, em Tocantins já bombou No nordeste as mina faz, no verão vai pegar Então faz o tchu tcha tcha, o Brasil inteiro vai cantar']","['balada', 'mulherada', 'dançar', 'mina', 'pira', 'arrocha', 'farra', 'whisky', 'meio', 'galera']",14_balada_mulherada_dançar_mina
15,68,15_ninguém_aceitar_trai_ser ser,"['ninguém', 'aceitar', 'trai', 'ser ser', 'nasci ser', 'tipo gente', 'tudo tudo', 'nasci', 'solteiro', 'segredo']","['Eu não vou aceitar, (faço tudo por você) Eu não vou aceitar, (faço tudo por você) Eu não vou aceitar, (tiro de mim só pra te dar prazer).', 'Eu quero alguém que não tenha alguém Não nasci pra ser segredo de ninguém', 'Eu quero alguém que não tenha alguém Não nasci pra ser segredo de ninguém Eu quero alguém que não tenha alguém Não nasci pra ser segredo de ninguém']","['ninguém', 'aceitar', 'trai', 'ser ser', 'nasci ser', 'tipo gente', 'tudo tudo', 'nasci', 'solteiro', 'segredo']",15_ninguém_aceitar_trai_ser-ser
16,66,16_anjos_ser humano_humano_deus,"['anjos', 'ser humano', 'humano', 'deus', 'senhor', 'homens', 'mundo', 'saber ser', 'céu', 'ouvir']","['E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam', 'Nós somos mais que amigos Somos anjos que o Senhor enviou Vamos gritar para o mundo ouvir Somos anjos', 'Nós somos mais que amigos Somos anjos que o Senhor enviou Vamos gritar para o mundo ouvir Somos anjos que o senhor enviou']","['anjos', 'ser humano', 'humano', 'deus', 'senhor', 'homens', 'mundo', 'saber ser', 'céu', 'ouvir']",16_anjos_ser-humano_humano_deus
17,63,17_sorte_roupa_inteira_noite,"['sorte', 'roupa', 'inteira', 'noite', 'noite inteira', 'tirar roupa', 'cama', 'boba', 'espelho', 'levantar']","['Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício', 'Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama', 'Sorte de beijar a tua boca Sorte de tirar a tua roupa Sorte de acordar ao lado teu']","['sorte', 'roupa', 'inteira', 'noite', 'noite inteira', 'tirar roupa', 'cama', 'boba', 'espelho', 'levantar']",17_sorte_roupa_inteira_noite
18,57,18_dia_pensei_acordar_espelho,"['dia', 'pensei', 'acordar', 'espelho', 'quis ver', 'nem quis', 'amanhã tudo', 'todo dia', 'quis', 'malas']","['Nunca pensei que um dia fosse ser assim Você chegou sem dizer nada, tomou conta de mim Antes de você chegar só tinha solidão Somente marcas e feridas no meu coração Amor você é tudo que eu preciso Com você eu tô no céu, eu tô no paraíso', 'Que eu não saberia acordar todo dia Olhar do meu lado e não te sentir Não me aceitaria olhando no espelho Sabendo que um dia te deixei partir', 'Eu não saberia acordar todo dia Olhar do meu lado e não te sentir Não me aceitaria olhando no espelho Sabendo que um dia te deixei partir']","['dia', 'pensei', 'acordar', 'espelho', 'quis ver', 'nem quis', 'amanhã tudo', 'todo dia', 'quis', 'malas']",18_dia_pensei_acordar_espelho
19,55,19_caminho_metade_levando vida_destino,"['caminho', 'metade', 'levando vida', 'destino', 'rumo', 'levando', 'seguir', 'ser feliz', 'sorria', 'razão']","['Eu vou curar essa dor E encontrar um novo amor Em um caminho sem rumo Vou levando a vida', 'Eu vou curar essa dor E encontrar um novo amor Em um caminho sem rumo Vou levando a vida! Em um caminho sem rumo Vou levando a vida! Em um caminho sem rumo Vou levando a vida!', 'Eu vou curar essa dor E encontrar um novo amor Em um caminho sem rumo Vou levando a vida Em um caminho sem rumo Vou levando a vida']","['caminho', 'metade', 'levando vida', 'destino', 'rumo', 'levando', 'seguir', 'ser feliz', 'sorria', 'razão']",19_caminho_metade_levando-vida_destino
20,49,20_empina_arrocha_nhec_pac man,"['empina', 'arrocha', 'nhec', 'pac man', 'man', 'arrocho', 'pac', 'arrocha arrocha', 'gata', 'nhec nhec']","['A gata endoidou, deu uma empinadinha em mim A gata endoidou, deu uma empinadinha em mim Empina em mim, empina, empina, empina em mim Empina em mim, empina, empina, empina em mim', 'Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec', 'Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec']","['empina', 'arrocha', 'nhec', 'pac man', 'man', 'arrocho', 'pac', 'arrocha arrocha', 'gata', 'nhec nhec']",20_empina_arrocha_nhec_pac-man
21,48,21_perfume_cheiro_rosas_come,"['perfume', 'cheiro', 'rosas', 'come', 'identifica', 'cama', 'sentindo', 'canto', 'presença', 'mala']","['Me fala qual é o seu perfume Que ainda hoje eu vou comprar Tô sentindo a minha vida tão sem cheiro E eu já sei qual quero dar', 'Comprei seu perfume pra lembrar do seu cheiro Chorei por você aqui em meu travesseiro Pra sentir sua presença, achei aquele ursinho Jogado no canto do quarto Reli as mensagens aqui em meu celular O último te amo fiz questão de guardar Como aceitar que você se foi? Não dá (ie, ie)', 'Comprei seu perfume pra lembrar do seu cheiro Chorei por você aqui em meu travesseiro Pra sentir sua presença, achei aquele ursinho Jogado no canto do quarto Reli as mensagens aqui em meu celular O último te amo fiz questão de guardar Como aceitar que você se foi? Não dá']","['perfume', 'cheiro', 'rosas', 'come', 'identifica', 'cama', 'sentindo', 'canto', 'presença', 'mala']",21_perfume_cheiro_rosas_come
22,46,22_chuva_procurei_sol_encontrei,"['chuva', 'procurei', 'sol', 'encontrei', 'bússola', 'imensidão', 'procurava', 'lugares', 'às vezes', 'encontrar']","['Estar assim, sentir assim Um turbilhão de sensações dentro de mim Eu amanheço, eu estremeço, eu enlouqueço Eu te cavalgo embaixo do cair Da chuva, eu reconheço Estar assim, sentir assim Eu me aqueço, eu endureço, eu me derreto Eu evaporo e caio em forma de chuva', 'Alta madrugada, eu aqui sem sono Por todos os lugares, escrevo o seu nome Já procurei pro sul, já procure pro norte E não te encontrei O sol já vai surgir mais um dia esta por vir Vejo as flores num jardim, sigo sem você aqui Mas não, não acabou não Tudo que a brisa leva Um dia volta com o vento Sinto uma coisa muito forte É o fim do sofrimento', 'Alta madrugada, eu aqui sem sono Por todos os lugares, escrevo o seu nome Já procurei pro sul, já procurei pro norte E não te encontrei O sol já vai surgindo, mais um dia está por vir Vejo as flores num jardim, sigo sem você aqui Mas não, não acabou não']","['chuva', 'procurei', 'sol', 'encontrei', 'bússola', 'imensidão', 'procurava', 'lugares', 'às vezes', 'encontrar']",22_chuva_procurei_sol_encontrei
23,41,23_cavalo_gado_mato_fazenda,"['cavalo', 'gado', 'mato', 'fazenda', 'velho', 'roça', 'boi', 'tocando', 'caipira', 'burro']","['Tem cavalo e boi pulando e o povo achando bom E o locutor tá gritando: Segura, peão Tem cavalo e boi pulando e o povo achando bom Quem manda nessa cidade é a Tropa do Chapelão', 'Pego meu cavalo e saio pelo pasto Toco meu berrante apartando o gado Sei que sou caipira, mas vivo melhor Morando aqui no mato Morando aqui no mato', 'Pego meu cavalo e saio pelo pasto Toco meu berrante apartando o gado Sei que sou caipira, mas vivo melhor Morando aqui no mato']","['cavalo', 'gado', 'mato', 'fazenda', 'velho', 'roça', 'boi', 'tocando', 'caipira', 'burro']",23_cavalo_gado_mato_fazenda
24,39,24_toda vida_passe_toda_espera,"['toda vida', 'passe', 'toda', 'espera', 'mesmo', 'sofá', 'esperando', 'avião', 'buscar', 'indo']","['Eu te esperarei, nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse ""eu voltarei"" Mesmo que passe toda minha vida, eu te esperarei', 'Nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse eu voltarei Mesmo que passe toda a minha vida, eu te esperarei', 'Eu te esperarei, nós sentaremos juntos frente ao mar E de mãos dadas vamos caminhar Mesmo que passe toda a minha vida, eu te esperarei E nos teus olhos ainda existe amor E seu olhar me disse eu voltarei Mesmo que passe toda a minha vida, eu te esperarei']","['toda vida', 'passe', 'toda', 'espera', 'mesmo', 'sofá', 'esperando', 'avião', 'buscar', 'indo']",24_toda-vida_passe_toda_espera
25,38,25_flor_beija_encher_beija flor,"['flor', 'beija', 'encher', 'beija flor', 'inteira', 'jardim', 'banheira', 'suíte', 'beijo beija', 'dentro banheira']","['Vou te encher de flor, minha flor Vou te encher de beijos de amor Quero ver cê reclamar Quero ver cê não me amar Vou te encher de flor, eu vou', 'E eu, você, dentro de uma banheira Alagando a suíte inteira Eu te beijo, cê me beija Nós se ama a noite inteira Pensa nós dois molhando o lençol de seda Eu, você, dentro de uma banheira Alagando a suíte inteira Eu te beijo, cê me beija Nós se ama a noite inteira Pensa nós dois molhando o lençol de seda', 'Eu, você, dentro de uma banheira Alagando a suíte inteira Eu te beijo, cê me beija Nós se ama a noite inteira Pensa nós dois molhando o lençol de seda Eu, você, dentro de uma banheira Alagando a suíte inteira Eu te beijo, cê me beija Nós se ama a noite inteira Pensa nós dois molhando o lençol de seda']","['flor', 'beija', 'encher', 'beija flor', 'inteira', 'jardim', 'banheira', 'suíte', 'beijo beija', 'dentro banheira']",25_flor_beija_encher_beija-flor
26,36,26_noite dia_mania_peito_porta,"['noite dia', 'mania', 'peito', 'porta', 'dia passa', 'passa', 'noite', 'resisto', 'tudo real', 'amo']","['Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado E dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, eu amo noite e dia Amo noite e dia']","['noite dia', 'mania', 'peito', 'porta', 'dia passa', 'passa', 'noite', 'resisto', 'tudo real', 'amo']",26_noite-dia_mania_peito_porta
27,35,27_amar precisa_chega perto_desce_quiser amar,"['amar precisa', 'chega perto', 'desce', 'quiser amar', 'amar', 'casar', 'saber', 'bom', 'precisa', 'perto']","['Alguém pra me amar Precisa me aceitar Assim como eu sou Imperfeita, amor Quem quiser me amar Precisa ter o dom Bem mais que seduzir Navegar em mim Navegar em mim Oh, ah, ah Navegar em mim', 'Chega mais perto Vai, quero te encontrar Quero saber onde você está Chega mais perto Vai, quero te ouvir falar Falar de amor pra quem não sabe amar Não quero mais saber de nada Nem mesmo te deixar e fugir na hora errada Entenda a melhor saída É te ter de vez na minha vida', 'Chega mais perto Vai, quero te encontrar Quero saber onde você está Chega mais perto Vai, quero te ouvir falar Falar de amor, pra quem não sabe amar Não quero mais saber de nada Nem mesmo te deixar e fugir na hora errada Entenda a melhor saída É te ter de vez na minha vida']","['amar precisa', 'chega perto', 'desce', 'quiser amar', 'amar', 'casar', 'saber', 'bom', 'precisa', 'perto']",27_amar-precisa_chega-perto_desce_quiser-amar
28,34,28_tchau_tchau tchau_querendo querendo_querendo,"['tchau', 'tchau tchau', 'querendo querendo', 'querendo', 'bate', 'hora chamar', 'chamar', 'brasil', 'vo', 'saiba']","['Tarde demais! Tchau, tchau, amor! Tarde demais! Tchau, tchau, já vou! Não volto atrás', 'Te amo e vê se não fica mal Tchau, tchau, tchau, tchau Tchau Te amo e vê se não fica mal Tchau', 'Tchau, tchau, me cansei de você Tchau, tchau, eu quero te ver sofrer Tchau, tchau, não vou te dar mais moral Bye, bye, sai fora, tchau, tchau']","['tchau', 'tchau tchau', 'querendo querendo', 'querendo', 'bate', 'hora chamar', 'chamar', 'brasil', 'vo', 'saiba']",28_tchau_tchau-tchau_querendo-querendo_querendo
29,33,29_violão_viola_morar comigo_voar,"['violão', 'viola', 'morar comigo', 'voar', 'vem morar', 'moça', 'morar', 'meiga', 'braço', 'vier']","['E se você aceitar o amor de um violeiro O seu coração vai ser meu paradeiro Eu e a viola e uma eterna canção Moça, eu não tenho pressa pra te conquistar O braço da viola vai me consolar Até você abrir de vez seu coração Seu coração', 'E se você aceitar o amor de um violeiro O seu coração vai ser meu paradeiro Eu e a viola e uma eterna canção Moça, eu não tenho pressa pra te conquistar O braço da viola vai me consolar Até você abrir de vez seu coração, é', 'E se você aceitar o amor de um violeiro O seu coração vai ser meu paradeiro Eu e a viola e uma eterna canção Moça, eu não tenho pressa pra te conquistar O braço da viola vai me consolar Até você abrir de vez seu coração']","['violão', 'viola', 'morar comigo', 'voar', 'vem morar', 'moça', 'morar', 'meiga', 'braço', 'vier']",29_violão_viola_morar-comigo_voar
30,33,30_coloca_jesus_deus_cantar,"['coloca', 'jesus', 'deus', 'cantar', 'pé', 'céu', 'chão', 'vamos', 'santo', 'viver']","['Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé', 'Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando se coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão', 'Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão']","['coloca', 'jesus', 'deus', 'cantar', 'pé', 'céu', 'chão', 'vamos', 'santo', 'viver']",30_coloca_jesus_deus_cantar
31,33,31_superou_pena tudo_faz_feito,"['superou', 'pena tudo', 'faz', 'feito', 'tudo faz', 'assunto', 'ex', 'faz faz', 'pena', 'plano']","['Pena que tudo que cê faz, cê faz mal feito', 'Me traiu, levou um tempo, mas eu descobri Você não vale nada, tá claro pra mim Seu plano era bom, era quase perfeito Pena que tudo que cê faz, cê faz mal feito', 'Você me traiu, levou um tempo, mas eu descobri Você não vale nada, tá claro pra mim Seu plano era bom, era quase perfeito Pena que tudo que cê faz, cê faz mal feito']","['superou', 'pena tudo', 'faz', 'feito', 'tudo faz', 'assunto', 'ex', 'faz faz', 'pena', 'plano']",31_superou_pena-tudo_faz_feito
