Topic,Count,Name,Representation,Representative_Docs
9,67,9_canção_música_flor_final tava,"['canção', 'música', 'flor', 'final tava', 'melhor', 'viola', 'escondendo', 'melhor lugar', 'violão', 'voz']","['Mente que eu finjo, que acredito no seu coração Conta uma mentira pra minha paixão Diz que ainda sou o que você mais quis Mente que eu sou o sonho lindo que você sonhou Que a vida inteira você me esperou Basta seu sorriso pra me ver feliz Só um beijo e nada mais pra deixar você em paz E encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, só um beijo e nada mais Pra deixar você em paz, e encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, minha estrela perdida', 'Eu já tive paixões jurando que eram amores Eu já mandei errado alguns buquês de flores Deus tava me preparando esse tempo todo Te deixou pro final, tava escondendo o ouro Eu já tive paixões jurando que eram amores Eu já mandei errado alguns buquês de flores Deus tava me preparando esse tempo todo Te deixou pro final, tava escondendo o ouro Te deixou pro final, tava escondendo o ouro', 'Eu já tive paixões jurando que eram amores Eu já mandei errado alguns buquês de flores Deus tava me preparando esse tempo todo Te deixou pro final, tava escondendo o ouro Eu já tive paixões jurando que eram amores Eu já mandei errado alguns buquês de flores Deus tava me preparando esse tempo todo Te deixou pro final, tava escondendo o ouro Te deixou pro final Tava escondendo o ouro']"
10,66,10_feliz_sorriso_ser feliz_olhares,"['feliz', 'sorriso', 'ser feliz', 'olhares', 'sorrisos', 'feliz ser', 'sorte', 'sorrir', 'pensa direito', 'sorria']","['Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você (você), sempre foi você O fantasma do meu coração', 'Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você, sempre foi você O fantasma do meu coração', 'Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você (você), sempre foi você (você) O fantasma do meu coração']"
11,61,11_acabou_bye_saudade_doer,"['acabou', 'bye', 'saudade', 'doer', 'pena', 'pedaço', 'levou', 'tempo', 'adeus', 'dor']","['Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui Um pedaço de mim Um pedaço de mim', 'Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui', 'Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui Um pedaço de mim']"
12,61,12_homem_mulher_sabe_perdendo tempo,"['homem', 'mulher', 'sabe', 'perdendo tempo', 'perdendo', 'jogo', 'curtição', 'termina', 'provoca', 'supera']","['Me diz pra quê ? Fazer tanto charminho Tá perdendo seu tempo, sem me dar carinho Assuma de vez.. Que quer me amar. Quem desdenha quer comprar Quero pedir, menina não brinque comigo. Não deixe demais meu coração de castigo Você sabe que tem toda minha atenção. E que eu não sirvo só pra curtição.', 'Me diz pra quê ? Fazer tanto charminho Tá perdendo seu tempo, sem me dar carinho Assuma de vez Que quer me amar Quem desdenha quer comprar Quero pedir, menina não brinque comigo Não deixe demais meu coração de castigo Você sabe que tem toda minha atenção E que eu não sirvo só pra curtição.', 'Você não tem limite Você não tem hora Liga pra brincar com o meu sentimento Faz propostas que sempre me apavoram Sabe o que é amar e tá perdendo tempo Você me provoca, eu entro no seu jogo Sabe dar as cartas, sabe me ganhar Me coloca sempre em prova de fogo E é tudo que eu preciso pra me entregar']"
13,58,13_será_gente_será rolar_tempo,"['será', 'gente', 'será rolar', 'tempo', 'diferente', 'tentar', 'hora', 'tudo tudo', 'certeza', 'rolar']","['Ou a gente sente ou não sente Infelizmente, não bateu aqui pra gente Eu tô indo embora, vai ter que ser agora Em outra vida, tomara que seja diferente É', 'Será que vai rolar pra gente ficar? Será, será? Eu quero é tentar Será que vai rolar pra gente ficar? Será, será? Eu quero é tentar', 'Será que vai rolar da gente ficar? Será, será? Eu quero é tentar Será que vai rolar da gente ficar? Será, será? Eu quero é tentar']"
14,57,14_menti_mandou_sabia_brincou,"['menti', 'mandou', 'sabia', 'brincou', 'fora', 'tentei', 'fiz', 'depois', 'minutos', 'comigo']","['E até menti, me fiz de desapegado Falei pra todo mundo que você era só passado Por dentro o choro, mas por fora o sorriso estampado', 'Você me traiu, levou um tempo, mas eu descobri Você não vale nada, tá claro pra mim Seu plano era bom, era quase perfeito Pena que tudo que cê faz, cê faz mal feito', 'Me traiu, levou um tempo, mas eu descobri Você não vale nada, tá claro pra mim Seu plano era bom, era quase perfeito Pena que tudo que cê faz, cê faz mal feito']"
15,57,15_amo_amo amo_amar_encher,"['amo', 'amo amo', 'amar', 'encher', 'flor', 'diga', 'amar amar', 'quer', 'diga amo', 'amo sei']","['Te amo, te amo, te amo Te amo, te amo, te amo', 'Te amo demais Como eu te amo Te amo demais Te amo, te amo', 'Te amo Te amo Te amo Te amo']"
16,54,16_dormir_cama_noite_aqui,"['dormir', 'cama', 'noite', 'aqui', 'morena', 'hoje', 'manhã', 'consigo', 'casa', 'acordei']","['E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Na minha mão', 'E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Yeah, yeah, yeah, yeah', 'E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho O telefone na mão']"
17,54,17_entender_deixo_quer_enganou,"['entender', 'deixo', 'quer', 'enganou', 'amante', 'deixo ir', 'ir ver', 'jurei', 'errado', 'amo']","['Prometo que eu não vou ser mais o cara que te enganou Confia em mim deixa eu te mostrar meu amor, quem eu sou Não tente entender, eu não vou explicar O amor chega assim, meio sem avisar', 'Se eu te deixo livre é porque te amo A gente não precisa fazer nem um plano Quando tô com saudade eu te chamo Eu deixo você ir só pra te ver voltando Eu deixo você ir só pra te ver voltando', 'Prometo que eu não vou ser mais o cara que te enganou Confia em mim deixa eu te mostrar meu amor, quem eu sou Não tente entender, eu não vou explicar O amor chega assim sem avisar']"
18,48,18_hora amar_contar amor_merecia_fingiu,"['hora amar', 'contar amor', 'merecia', 'fingiu', 'sentiu', 'medo', 'entendeu', 'amor mim', 'acabou', 'amou']","['Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar', 'Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar (Insensível)', 'Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar Tem medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar']"
19,48,19_pitoco_vem_mo_deuso,"['pitoco', 'vem', 'mo', 'deuso', 'mo deuso', 'minas', 'mina', 'vem vem', 'brasil', 'confirmou']","['Cheguei na balada, doidinho pra biritar A galera tá no clima, todo mundo quer dançar Uma mina me chamou, e disse: Faz um tchu tcha tcha Perguntei o que é isso, ela disse: Eu vou te ensinar É uma dança sensual, em Goiânia já pegou Em Minas explodiu, em Tocantins já bombou No nordeste as mina faz, no verão vai pegar Então faz o tchu tcha tcha, o Brasil inteiro vai cantar', 'Liguei pra lá, Pitoco atendeu Tem alguém aí? (Au, au, au) ele respondeu É algum marmanjo? (Au, au, au) assim confirmou Ele tá na sala? (Au, au) Pitoco negou Ele tá no quarto? (Au, au, au) assim confirmou Faz tempo? Au (Pitoco uivou) Que que eles tão fazendo Pitoco? Pitoco fungou, a casa caiu É mais um caso que acontece no Brasil', 'Liguei pra lá, Pitoco atendeu Tem alguém aí? (Au, au, au) ele respondeu É algum marmanjo? (Au, au, au) assim confirmou Ele tá na sala? (Au, au) Pitoco negou Ele tá no quarto? (Au, au, au) assim confirmou Faz tempo? (Au) Pitoco uivou Que que eles tão fazendo Pitoco? Pitoco fungou, a casa caiu É mais um caso que acontece no Brasil']"
20,48,20_colchão_faz faz_quarto_cama,"['colchão', 'faz faz', 'quarto', 'cama', 'mel', 'lembrança boa', 'altos', 'faz', 'cima mim', 'lembrança']","['Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin', 'Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele (vai, Luan) Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin', 'Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin Se você soubesse que na minha mente Cê já tá sem roupa por cima de mim Altos flashback do quarto 67 Ô, lembrança boa lá daquele motelzin']"
21,47,21_bater porta_ninguém_devolver_nenhuma,"['bater porta', 'ninguém', 'devolver', 'nenhuma', 'preocupa', 'bater', 'bagunça', 'porta', 'falo', 'quer']","['Não vou mais atrás de você Eu não vou mais, não vou mais, não vou mais E você vai se arrepender De bater a porta na minha cara quando te procurei', 'Se cê não quiser nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma', 'Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma']"
22,47,22_vale_perfeitos_risco_defeitos,"['vale', 'perfeitos', 'risco', 'defeitos', 'acha', 'eram', 'sofrer', 'pirando', 'piorar', 'vida louca']","['Vai piorar, desidratar Se me ver por aí na vida louca Quando perceber que seus defeitos Só comigo eram perfeitos Não tem jeito Você vai chorar por mim (Vai chorar por mim)', 'Vai piorar, desidratar Se me ver por aí na vida louca Quando perceber que seus defeitos Só comigo eram perfeitos Não tem jeito Você vai chorar', 'Vai piorar, desidratar Se me ver por aí na vida louca Quando perceber que seus defeitos Só comigo eram perfeitos Não tem jeito Você vai chorar por mim']"
23,47,23_paixão_amo_amor amor_amo amo,"['paixão', 'amo', 'amor amor', 'amo amo', 'amar', 'quantos', 'resisto', 'espero', 'louca paixão', 'desejo']","['Meu coração apaixonado atormentado em dores Procura entre os outros, o inventor dos amores Espero que essa paixão nunca me deixe mal Eu quero te amar e quero também ser amado Desejo ser o seu amor e não o seu escravo Espero que essa paixão não tenha ponto final Senão adeus, tchau, tchau!', 'Ah, esse amor é a minha mania De noite e de dia, eu só sei te amar Eu só quero te amar! Ah, esse amor já ficou no meu peito E não tem outro jeito, eu não sei dizer não Quando você vem atrás de mim Não resisto a essa louca paixão Iê iêiê, não resisto a essa louca paixão Iê iêiê, não resisto a essa louca paixão', 'Ah, esse amor é a minha mania De noite e de dia, eu só sei te amar Eu só quero te amar! Ah, esse amor já ficou no meu peito E não tem outro jeito, eu não sei dizer não Quando você vem atrás de mim Não resisto a essa louca paixão']"
24,46,24_levo_gente amar_quiser_amar longe,"['levo', 'gente amar', 'quiser', 'amar longe', 'gente', 'aonde', 'amar', 'querem', 'aonde quer', 'plano']","['Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe', 'Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe', 'Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui']"
25,45,25_delícia_festa_agradar_gata,"['delícia', 'festa', 'agradar', 'gata', 'fiorino', 'mole', 'beber', 'tocando', 'som', 'pau']","['Oh, delícia! oh, delícia! Vamos sair daqui pra conhecer o meu apê Oh, delícia! oh, delícia! A gente vai voltar antes do dia amanhecer Oh, delícia! oh, delícia! Vamos sair daqui pra conhecer o meu apê Oh, delícia! oh, delícia! A gente vai voltar antes do dia amanhecer', 'A festa é boa hoje e o bicho vai pegar Tem Henrique e Diego e o pau vai quebrar Eu já liguei pras gata, as mais linda, sem noção Camarote lotado só tocando os pancadão Eu desço champanhe as mina pira e paga pau Desço um pouco de Whisky pra elas liberar geral O povo ficando louco, todo desorientado E sua mulher não pode saber que você está aqui do lado', 'A festa é boa é hoje e nós vamos pipocar Tem o Gusttavo Lima e o bicho vai pegar Eu já liguei pras gata, as mais linda, sem noção Camarote lotado só tocando os pancadão Eu desço champanhe as mina pira e paga pau Desço um combo de Whisky pra elas liberar geral O povo ficando louco, todo desorientado E sua mulher não pode saber que você está aqui do lado']"
26,44,26_apaixonei_primeira_sorriso lindo_pousar,"['apaixonei', 'primeira', 'sorriso lindo', 'pousar', 'real', 'conheci', 'lindo', 'amei amei', 'sonhei', 'chorei']","['A primeira vez que eu te vi Gamei, apaixonei, sonhei, tentei falar, a voz não saiu A primeira vez que eu te vi Gamei, apaixonei, sonhei, tentei falar, a voz não saiu', 'Me apaixonei Quando vi os teus lindos olhos brilhando Em outra direção olhando E eu não existia pra você Me apavorei (me apavorei) Quando vi o seu sorriso lindo se abrindo Despedindo e indo, chorei sem querer Quando vi o seu sorriso lindo se abrindo Despedindo e indo, chorei sem querer', 'Me apaixonei Quando vi os seus lindos olhos brilhando Em outra direção olhando E eu não existia pra você Me apavorei (me apavorei) Quando vi o seu sorriso lindo se abrindo Despedindo e indo, chorei sem querer Quando vi o seu sorriso lindo se abrir Despedindo e indo, chorei sem querer']"
27,44,27_mente_culpa_mentirosa_verdade,"['mente', 'culpa', 'mentirosa', 'verdade', 'desculpa ser', 'culpar', 'ser cara', 'cara', 'mentira', 'quer sair']","['Você gosta de ser enganada E na vida eu faltei nessa aula Desculpa não ser esse cara Desculpa não ser esse cara Desculpa não ser esse cara', 'Já que cê não quer sair como o ruim da história Então mente aí que a culpa é nossa Que a culpa é nossa', 'Já que cê não quer sair como o ruim da história Então mente aí que a culpa é nossa']"
28,41,28_celular_telefone_número_mensagem,"['celular', 'telefone', 'número', 'mensagem', 'ligando', 'mensagens', 'esqueci', 'apagar', 'foto', 'mandei']","['Eu vou trocar meu celular num Nokia tijolão Que só manda mensagem e faz ligação Se eu ver mais um vídeo seu, sem eu, sendo feliz Certeza que a minha vida vai tá por um triz Me mata não! Essa internet virou arma na sua mão', 'Seu número de celular é fácil apagar As coisas que me deu eu também posso quebrar Mas dentro do meu coração tem foto sua Tem saudade sua espalhada por todo lugar E eu tô pirando E eu tô pirando', 'Seu número de celular é fácil apagar As coisas que me deu eu também posso quebrar Mas dentro do meu coração tem foto sua Tem saudade sua espalhada por todo lugar Seu número de celular é fácil apagar As coisas que me deu eu também posso quebrar Mas dentro do meu coração tem foto sua Tem saudade sua espalhada por todo lugar']"
29,39,29_bar_casar_solteiro_nasci,"['bar', 'casar', 'solteiro', 'nasci', 'ser gente', 'macho', 'queria', 'depender', 'status', 'mando']","['Eu criei filha minha pra ser boiadeira Na volta desse mundo não ficar por baixo Não vai ter frescurinha pra abrir porteira E nunca nessa vida depender de macho', 'Eu criei filha minha pra ser boiadeira Na volta desse mundo não ficar por baixo Não vai ter frescurinha pra abrir porteira E nunca nessa vida depender de macho E nunca nessa vida depender de macho', 'Eu não quero casar, eu não quero casar Eu não quero casar, eu não quero casar Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar']"
30,39,30_hoje_carro_motel_casa,"['hoje', 'carro', 'motel', 'casa', 'hoje sair', 'enquanto', 'casa hoje', 'preocupar', 'sexta', 'saio']","['E se você quiser, espero por você E se você ligar, eu corro pra atender À meia-noite ou quatro horas da manhã Eu vou te encontrar Na hora em que você me chamar eu vou', 'Liga lá em casa Fala que hoje eu não vou voltar Fala que num motel eu vou pousar Que é muito tarde, a chuva desabou', 'Liga lá em casa Fala que hoje eu não vou voltar Fala que num motel eu vou pousar É muito tarde, a chuva desabou']"
31,38,31_saudade_sentindo_sentindo saudade_chora,"['saudade', 'sentindo', 'sentindo saudade', 'chora', 'senti', 'identifica', 'choram rosas', 'choram', 'perfume', 'chorei']","['Eu vivo sentindo saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre Eu vivo sentindo a sua saudade', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre Eu vivo sentindo a sua saudade']"
32,37,32_pau sei_paga pau_relaxa_paga,"['pau sei', 'paga pau', 'relaxa', 'paga', 'danado', 'pau', 'mel', 'mulherada', 'vó estourado', 'estourado']","['Os playboy mete a mala, se isola na balada Toma whisky na taça acha que pira a mulherada Pagando de gatão, mais não pega nada E eu lá na humilde curtindo com altas gatas', 'Eles paga pau Sei que eu tenho o mel Mais um dia normal (Pras menina de chapéu) Eles paga pau Sei que eu tenho o mel Mais um dia normal', 'Eles paga pau Sei que eu tenho o mel Mais um dia normal (Pras menina de chapéu) Eles paga pau Sei que eu tenho o mel (mel) Mais um dia normal']"
33,34,33_perdi_procurava_aconteceu_encontrado,"['perdi', 'procurava', 'aconteceu', 'encontrado', 'tava', 'apareceu', 'meio', 'quase', 'encontrar', 'ali']","['Não vou poder matar sua saudade mais Meu hoje me impede de voltar atrás Você foi uma fase boa, mas passou Você quer o que eu era, e aquele eu mudou Meus filhos tão dormindo aqui Imagina essa imagem Eu te desejo isso, mas com outro personagem Não me manda mais mensagem', 'Olha eu andando de mão dada no meio do povo Onde é que você tava esse tempo todo? Se eu não tivesse te encontrado, eu juro que te procurava De novo, de novo, de novo', 'Não vou poder matar sua saudade mais Meu hoje me impede de voltar atrás Você foi uma fase boa, mas passou Você quer o que eu era, e aquele eu mudou Meus filhos tão dormindo aqui Imagina essa imagem Eu te desejo isso, mas com outro personagem']"
34,33,34_pai_filho_velho_papai,"['pai', 'filho', 'velho', 'papai', 'brilho', 'mãe', 'cresce', 'duro', 'voz', 'conselho']","['Pai, eu não desisti, porque eu queria Na sua frente estar um dia Só pra dizer obrigado, pai!', 'Pai, você é o herói do filme de um filho Que agora sabe que é ouro o brilho O brilho desses seus olhos, pai', 'Pai, tô aqui pra dizer que valeu Olha o quanto o seu filho cresceu Pai, olha seu sonho aqui']"
35,32,35_pegar_compensar_deita aqui_gracinha,"['pegar', 'compensar', 'deita aqui', 'gracinha', 'calar', 'pai perguntar', 'pegar sei', 'leva paraíso', 'noite sorrindo', 'ligar madrugada']","['Me fala que não vai Passar a noite só sorrindo Me tira daqui Me leva pro seu paraíso Não quero voltar Pra casa imaginando o que poderia rolar Com você, quero fazer agora', 'O mais engraçado é que eu sei que quando eu pei Não vai desgrudar de mim Ficar de marrinha pra que? Se entrega de vez, que eu vou te fazer feliz Se eu te pegar, sei que vai me ligar até de madrugada Vou colocar você no seu lugar, você tá ferrada', 'O mais engraçado é que eu sei, que quando eu pei Não vai desgrudar de mim Ficar de marrinha pra que? Se entrega de vez, que eu vou te fazer feliz Se eu te pegar, sei que vai me ligar, até de madrugada Vou colocar você no seu lugar, você tá ferrada']"
36,32,36_cavalo_boi_gado_fazendeiro,"['cavalo', 'boi', 'gado', 'fazendeiro', 'fazenda', 'cowboy', 'chora', 'mato', 'mestiço', 'caipira']","['Tem cavalo e boi pulando e o povo achando bom E o locutor tá gritando: Segura, peão Tem cavalo e boi pulando e o povo achando bom Quem manda nessa cidade é a Tropa do Chapelão', 'O mestiço era bravo, que até na sombra investia A filha do fazendeiro molhando os lábios, dizia Eu nunca beijei ninguém, juro pela luz do dia Mas quem montar nesse boi e tirar a valentia Ganha meu primeiro beijo que darei com alegria', 'O mestiço era bravo, que até na sombra investia A filha do fazendeiro, molhando os lábios dizia: Eu nunca beijei ninguém, juro pela luz do dia! Mas quem montar nesse boi e tirar a valentia Ganha meu primeiro beijo, que darei com alegria']"
37,31,37_mala_arrumei_mudou_sala,"['mala', 'arrumei', 'mudou', 'sala', 'pus', 'saco', 'vão ser', 'arrumei mala', 'há semana', 'ninho']","[""Pegue todos os cd's Pegue nossos livros, as fotografias Joga fora no lixo, leve suas roupas O quadro da sala, sua liberdade Leve na sua mala"", 'Eu arrumei a mala há mais de uma semana Só falta você me chamar pra eu fugir com você Mudei meu status, já tô namorando Antes de você aceitar, já te assumi pro Brasil', 'Arrumei a mala há mais de uma semana Só falta você me chamar pra eu fugir com você Mudei meu status, já tô namorando Antes de você aceitar, já te assumi pro Brasil']"
