Topic,Count,Name,Representation,Representative_Docs
18,52,18_bar_família_enquanto_virou,"['bar', 'família', 'enquanto', 'virou', 'saí', 'homem', 'visse', 'troquei', 'noite', 'barzinho']","['Saí da minha casa Parei na primeira esquina que tinha cerveja Tomei logo umas dez, cê viu? Fui parar aos seus pés, cê riu Deu pra perceber Não era só drama Eu não tenho as manha de ficar sem você', 'Saí da minha casa Parei na primeira esquina que tinha cerveja Tomei logo umas dez, cê viu? Fui parar aos seus pés, cê riu Deu pra perceber Não era só drama Eu não tenho as manha de ficar sem você, yeah', 'E quem me viu, se visse hoje não acreditaria Troquei o bar, agora é só sorveteria Só eu e ela quem diria Que o cachaceiro virou homem de família']"
19,52,19_lembrança_coração_olhos_senti,"['lembrança', 'coração', 'olhos', 'senti', 'coração acho', 'lembrar', 'tempo', 'continuar', 'acho', 'chorei']","['Eu só queria ter o seu abraço Pra ver se eu disfarço Essa falta de você Poder tocar, sentir o gosto do seu lábio Entrar no compasso e o seu coração bater Olhar nos seus olhos e dizer', 'Você se foi Já faz muito tempo que eu estou sofrendo Ainda continuo te querendo E essa vontade de você aumenta mais e mais a cada dia Coração que chora dor que não melhora Solidão castiga o peito toda hora E a minha consciência me faz ver que eu errei Naquele dia', 'De todas as loucuras que fiz na minha vida A maior foi deixar você Você bem que avisou O bobo aqui ficou sozinho querendo te ver Você se foi Já faz muito tempo que eu estou sofrendo Ainda continuo te querendo E essa vontade de você aumenta mais e mais a cada dia Coração que chora dor que não melhora Solidão castiga o peito toda hora E a minha consciência me faz ver que eu errei Naquele dia']"
20,47,20_perdeu_dar_primeiro gente_saber acontecer,"['perdeu', 'dar', 'primeiro gente', 'saber acontecer', 'fugida', 'jeito', 'foge', 'pensa tanto', 'gente vê', 'depois gente']","['Tô morrendo de vontade de te agarrar Não sei quanto tempo mais vou suportar Mas pra gente se encontrar ninguém pode saber Já pensei e sei o que devo fazer O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge (e o quê?)', 'O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê Vamo lá', 'O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê']"
21,46,21_cabelo_perfume_roupa_espelho,"['cabelo', 'perfume', 'roupa', 'espelho', 'linda', 'batom', 'cor', 'sorriso', 'vestido', 'boa']","['Esse cabelo cor de ouro é que me deixa louco Esse sorriso nos seus lábios que eu me entrego todo Não sei mais ver minha vida sem você por perto Amor sem você comigo a vida é um deserto', 'Esse cabelo cor de ouro é que me deixa louco Esse sorriso nos seus lábios, que eu me entrego todo Não sei mais ver minha vida, sem você por perto Amor sem você comigo, a vida é um deserto', 'Esse cabelo cor de ouro é que me deixa louco Esse sorriso nos seus lábios que eu me entrego todo Não sei mais ver minha vida, sem você por perto Amor sem você comigo, a vida é um deserto']"
22,45,22_chuva_chove_lavar_invadem,"['chuva', 'chove', 'lavar', 'invadem', 'esta', 'esta saudade', 'lembranças', 'leva', 'peito', 'saber dia']","['Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Lava do meu peito as lembranças que me invadem Por favor', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Por favor']"
23,44,23_dançar_arrocha_festa_arrocha arrocha,"['dançar', 'arrocha', 'festa', 'arrocha arrocha', 'procurar amor', 'vem', 'dançou', 'balada', 'dança', 'chão']","['Eu vou voltar pro meu pagode À moda sertaneja Eu quero é a rocha Arrocha, arrocha Arrocha a noite inteira', 'Quer dançar? Vem pra cá, vem vem, vem quebrar tudo Que Gabriel Gava tá chegando junto Quer dançar? Vem pra cá, vem vem, vem quebrar tudo Que Gabriel Gava tá chegando junto', 'Cheguei na balada, doidinho pra biritar A galera tá no clima, todo mundo quer dançar Uma mina me chamou, e disse: Faz um tchu tcha tcha Perguntei o que é isso, ela disse: Eu vou te ensinar É uma dança sensual, em Goiânia já pegou Em Minas explodiu, em Tocantins já bombou No nordeste as mina faz, no verão vai pegar Então faz o tchu tcha tcha, o Brasil inteiro vai cantar']"
24,43,24_bar_casar_aceitar_ninguém,"['bar', 'casar', 'aceitar', 'ninguém', 'nasci ser', 'nasci', 'sei sei', 'segredo', 'ninguém tenha', 'fim mundo']","['Eu não quero casar, eu não quero casar Eu não quero casar, eu não quero casar', 'Eu quero alguém que não tenha alguém Não nasci pra ser segredo de ninguém Eu quero alguém que não tenha alguém Não nasci pra ser segredo de ninguém', 'Eu não quero casar, eu não quero casar Eu não quero casar, eu não quero casar Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar']"
25,43,25_anjo_anjos_homens anjos_céu,"['anjo', 'anjos', 'homens anjos', 'céu', 'homens', 'abelha', 'cartas', 'amar', 'moral', 'asas']","['E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam', 'E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor, ôuô, ôuô, ôuô E os anjos cantam nosso amor', 'Anjo, puta que pariu, como eu te amo Anjo, puta que pariu, como eu te quero Anjo, nem morrendo eu quero te perder Anjo, sei que sou um trouxa sem você']"
26,41,26_carro_amarelo_camaro_camaro amarelo,"['carro', 'amarelo', 'camaro', 'camaro amarelo', 'fiorino', 'mole', 'jet', 'onda', 'tirando onda', 'pelo jeito']","['Agora eu fiquei doce igual caramelo Tô tirando onda de Camaro amarelo Agora você diz: Vem cá que eu te quero Quando eu passo no Camaro amarelo', 'Agora eu fiquei doce igual caramelo Tô tirando onda de Camaro amarelo E agora você diz: Vem cá que eu te quero Quando eu passo no Camaro amarelo', 'E agora eu fiquei doce igual caramelo Tô tirando onda de Camaro amarelo E agora você diz: Vem cá que eu te quero Quando eu passo no Camaro amarelo']"
27,39,27_gavião_pau_pau sei_paga pau,"['gavião', 'pau', 'pau sei', 'paga pau', 'beijo', 'paga', 'peão', 'odeia', 'carinha', 'mel']","['Eu achei que eu tinha achado o beijo perfeito Mas a dona da boca que eu quero odeia rodeio Quando eu vi você, falei: Essa eu namoro na hora Mas peão não namora com moça que odeia roça', 'Eles paga pau Sei que eu tenho o mel Mais um dia normal (Pras menina de chapéu) Eles paga pau Sei que eu tenho o mel (mel) Mais um dia normal', 'Eles paga pau Sei que eu tenho o mel Mais um dia normal (Pras menina de chapéu) Eles paga pau Sei que eu tenho o mel Mais um dia normal']"
28,38,28_média_retrovisor_dinheiro_rico,"['média', 'retrovisor', 'dinheiro', 'rico', 'trabalho', 'nessas', 'carro', 'boa nem', 'loucura', 'cobrar']","['Olha pro retrovisor Tudo que cê já passou Lembra quando cê ajoelhou pra pedir Pelas coisas que hoje você reclamou? Olha pro retrovisor E começa dar valor Tem tanta gente com menos que tá agradecendo só porque acordou Olha pro retrovisor', 'Nem bonito demais pra te dar trabalho Nem feio demais pra te passar vergonha Eu tô na média, tô numa média boa Nem rico demais pra andar de iate Nem liso demais pra remar de canoa Eu tô na média, tô numa média boa', 'Nem bonito demais pra te dar trabalho Nem feio Eu tô na média, tô numa média boa Nem rico demais pra andar de iate Nem liso demais pra remar de canoa Eu tô na média, tô numa média boa']"
29,36,29_melhor_aqui gente_arrepender_bater porta,"['melhor', 'aqui gente', 'arrepender', 'bater porta', 'deixo', 'sente', 'procurei', 'porta', 'volta', 'atrás']","['Não vou mais atrás de você Eu não vou mais, não vou mais, não vou mais E você vai se arrepender De bater a porta na minha cara quando te procurei', 'Ou a gente sente ou não sente Infelizmente, não bateu aqui pra gente Eu tô indo embora, vai ter que ser agora Em outra vida tomara que seja diferente', 'Ou a gente sente ou não sente Infelizmente, não bateu aqui pra gente Eu tô indo embora, vai ter que ser agora Em outra vida, tomara que seja diferente É']"
30,35,30_novela_filha_dá prejuízo_menina,"['novela', 'filha', 'dá prejuízo', 'menina', 'prejuízo', 'jantar', 'dona', 'fora', 'aparecer', 'apaixonado saio']","['Dona Maria Deixa eu namorar a sua filha Vai me desculpando a ousadia Essa menina é um desenho no céu Que Deus pintou e jogou fora o pincel', 'Faltou coragem pra dizer que não Bebi, liguei, parei no seu colchão Chego apaixonado e saio arrependido Amar por dois só me dá prejuízo', 'Faltou coragem pra dizer que não Bebi, liguei, parei no seu colchão Chego apaixonado e saio arrependido Amar por dois só me dá prejuízo Só me dá prejuízo']"
31,33,31_mim mesmo_deixando_fugindo_tentar esquecer,"['mim mesmo', 'deixando', 'fugindo', 'tentar esquecer', 'esquecer', 'iria', 'sabia', 'todo dia', 'apaixonou', 'ser amigo']","['Sabia Que mesmo me deixando eu iria Ficar te esperando todo dia Fugindo de mim mesmo pra tentar te esquecer Mas muito mais eu lembraria sozinho', 'Sabia Que mesmo me deixando eu iria Ficar te esperando todo dia Fugindo de mim mesmo pra tentar te esquecer Mas muito mais eu lembraria', 'Você sabia Que mesmo me deixando eu iria Ficar te esperando todo dia Fugindo de mim mesmo pra tentar te esquecer Mas muito mais eu lembraria']"
32,32,32_frio_tempo_quente_gelada,"['frio', 'tempo', 'quente', 'gelada', 'calor', 'frio barriga', 'tempo tempo', 'tempo passa', 'barriga', 'fria']","['É que o frio na barriga, a saudade esquentou O amor que tinha, a distância zerou Não sobrou nada Você é a minha ferida curada Preocupa não que essa dor aí logo passa', 'Já dei tempo ao tempo, mas o tempo não me ajuda Se tento te esquecer, só faço te querer Tá no meu pensamento, sentimento que não muda Tô louco para te ver, só quero amar você Só quero amar você', 'Já dei tempo ao tempo, mas o tempo não me ajuda Se tento te esquecer, só faço te querer Tá no meu pensamento, sentimento que não muda Tô louco para te ver, só quero amar você']"
33,31,33_disponível_off_virar vagabundo_dei amor,"['disponível', 'off', 'virar vagabundo', 'dei amor', 'vagabundo', 'deu valor', 'balada', 'amor tanto', 'mundo virar', 'tanto dei']","['Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor É sua única chance', 'Eu vou pegar todo mundo (eu vou pegar todo mundo) Virar um vagabundo (virar um vagabundo) Depois que eu ficar com essa cidade inteira Aí cê vai lembrar (mas eu te dei amor) Do tanto que eu te dei amor (você não deu valor) E o tanto que você não deu valor E a sua única chance vai ser Em qualquer balada por aí Vou te beijar sem perceber Sem ver que é você', 'Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor E a sua única chance vai ser Em alguma balada da vida Eu te beijar sem perceber Sem ver que é você']"
34,31,34_estrada_carro_interior_arrumou,"['estrada', 'carro', 'interior', 'arrumou', 'rodeio', 'mudar', 'cadê', 'joguei', 'ferida', 'prometeu']","['Faz tempo, to na estrada Procurando por alguém que me deixou assim A cada curva, cada passo penso em você será que pensa em mim? É fato e ta na cara, que eu vivo sem respirar Eu perco o chão e por você também me falta o ar Já procurei por todo canto, mas não encontrei vestígio seu', 'Oh, oh, oh Tô voltando pros rodeio Pra vida do interior Na cidade, o converseiro é que ela é da roça E não se acostumou Tô voltando pros rodeio Pra vida do interior Na cidade, o converseiro é que ela é da roça E não se acostumou', 'Ele falou que se eu botasse o meu chapéu, acabou Ele queria fazer eu mudar lá do interior Ele falou pra eu escolher entre o rodeio e o amor Olha onde eu tô, olha onde eu tô Ele falou que se eu botasse o meu chapéu, acabou Ele queria fazer eu mudar lá do interior Ele falou pra eu escolher entre o rodeio e o amor Olha onde eu tô, olha onde eu tô']"
35,31,35_tomou_amiga_amiga tava_tava bebaça,"['tomou', 'amiga', 'amiga tava', 'tava bebaça', 'bebaça', 'bola', 'fora', 'liga', 'torcida', 'hoje sol']","['O churrascão vai comer solto A champa não pode faltar Liga pra quatro ou cinco amigas Traz o biquíni Que hoje o sol tá de rachar', 'Amiga, cê tava bebaça Subindo na mesa, virando garrafa Amiga, cê tava bebaça Tomou tequila, tomou cerveja Tomou tudo, tomou fora Só não tomou vergonha na cara', 'Amiga, cê tava bebaça Subindo na mesa, virando garrafa Amiga, cê tava bebaça Tomou tudo, tomou fora Só não tomou vergonha na cara']"
36,28,36_traição_solteiro_amarela_blusa amarela,"['traição', 'solteiro', 'amarela', 'blusa amarela', 'mulher blusa', 'implorei', 'matou', 'romance', 'unha', 'mulher']","['Traição é traição, romance é romance Amor é amor e com você foi só um lance Traição é traição, romance é romance Amor é amor e com você foi só um lance', 'Ela me fez essa traição Ela me fez essa traição', 'Não pensava que aquela mulher da blusa amarela Me fizesse essa traição Mas o destino é cruel, ela deixou de ser fiel Pra viver de mão em mão']"
37,27,37_clima_entra clima_entra_pegando,"['clima', 'entra clima', 'entra', 'pegando', 'cima', 'parte', 'chegando', 'pega', 'faz faz', 'combina']","['Chega chegando, parte pra cima Pega pegando, entra no clima', 'Chega chegando, parte pra cima Pega pegando, entra no clima Faz mais, mais', 'Chega chegando, parte pra cima Pega pegando, entra no clima Faz, faz mais']"
38,27,38_gavião_pinto_beleza_cobra,"['gavião', 'pinto', 'beleza', 'cobra', 'cavalo', 'sobrenome', 'soltar', 'foguete', 'gente dar', 'pulando']","['Gavião gosta de cobra grande Mais também pega pinto pequeno Gavião gosta de cobra grande Mais também pega pinto pequeno Pra matar gavião tem instinto É de cobra e de pinto que ele tá vivendo Pra matar gavião tem instinto É de cobra e de pinto que ele tá vivendo', 'Ah-ah-ah, pensa nos fio bonito que a gente vai dar Eu vou soltar foguete se sair seu clone Cê entra com a beleza e eu com o sobrenome Ah-ah-ah, pensa nos fio bonito que a gente vai dar Eu vou soltar foguete se sair seu clone Cê entra com a beleza e eu entro com o sobrenome', 'Ah-ah-ah, pensa nos fio bonito que a gente vai dar Eu vou soltar foguete se sair seu clone Cê entra com a beleza e eu com o sobrenome (vai!) Ah-ah-ah, pensa nos fio bonito que a gente vai dar Eu vou soltar foguete se sair seu clone Cê entra com a beleza e eu entro com o sobrenome']"
39,26,39_canção_perfeita_melodia_letra,"['canção', 'perfeita', 'melodia', 'letra', 'mostrar', 'destino amar', 'encontrando', 'emoções', 'fiz canção', 'sonhador']","['Eu já falei de amor, já escrevi canções Com caneta de alma, folha de emoções À procura de uma canção perfeita', 'Agora o resto não importa mais É que o nosso amor canção perfeita traz É que o nosso amor canção perfeita traz', 'Apenas do olhar sinto a melodia No seu caminhar, vou encontrando a rima As notas me vêm no teu abraçar No teu beijo doce a letra se faz Agora o resto não importa mais É que o nosso amor canção perfeita traz']"
