Topic,Count,Name,Representation,Representative_Docs
9,79,9_amar_amo_24 horas_24,"['amar', 'amo', '24 horas', '24', 'quiser', 'preciso', 'chamo', 'horas', 'faço quiser', 'dar']","['24 horas pensando em você 24 horas querendo te ver 24 horas por dia pensando em te encontrar Porque eu quero, eu quero, eu quero tanto te amar', 'Quero te dar o mundo, tudo o que eu puder Com você do meu lado topo o que vier Pra te fazer feliz, faço o que você quiser Te amo e vou te amar, quantas vidas eu tiver', 'Quero te dar o mundo, tudo o que eu puder Com você do meu lado topo o que vier Pra te fazer feliz, faço o que você quiser Te amo e vou te amar quantas vidas eu tiver']"
10,71,10_bagunça_teve_tava_sirvo,"['bagunça', 'teve', 'tava', 'sirvo', 'tirou', 'achando', 'namorar', 'depois boca', 'queria', 'boca']","['Tá achando que é bagunça? Só porque me tirou da bagunça Mas, pra sua informação Depois da sua boca, só teve a sua Cê me tirou da rua, pô Sigilo porra nenhuma Se eu não sirvo pra namorar Eu não sirvo só pra dar uma', 'Tá achando que é bagunça? Só porque me tirou da bagunça Mas, pra sua informação Depois da sua boca, só teve a sua Cê me tirou da rua, pô Sigilo porra nenhuma Se eu não sirvo pra namorar Então não sirvo só pra dar uma Tá achando que é bagunça?', 'Tá achando que é bagunça? Só porque me tirou da bagunça Mas, pra sua informação Depois da sua boca, só teve a sua Cê me tirou da rua, pô Sigilo porra nenhuma Se eu não sirvo pra namorar Eu não sirvo só pra dar uma Tá achando que é bagunça?']"
11,65,11_todo mundo_amo_mundo todo_mundo,"['todo mundo', 'amo', 'mundo todo', 'mundo', 'noite dia', 'louca saudade', 'sonha comigo', 'louca', 'vê todo', 'sonha']","['Todo mundo Todo mundo, todo mundo vê Todo mundo (só queria que você soubesse) Todo mundo, todo mundo vê Todo mundo (que toda minha mudança é genuína) Todo mundo, todo mundo vê (genuinamente por você) Todo mundo, menos você', 'Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você', 'Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você (todo mundo, todo mundo, todo mundo vê) Todo mundo, menos você']"
12,65,12_quiser_pegar_embora_descer,"['quiser', 'pegar', 'embora', 'descer', 'vendendo', 'abusa', 'comigo', 'farra', 'mulher', 'ir']","['Já parou pra pensar como vai ser Se eu empinar a carroça e te fazer descer? Seu te amo não vai segurar O seu choro não vai comover O ruim tá indo embora, arruma um bão procê, vem', '(Bem assim, ó) Se um dia quiser ir embora, vai, mas me leva junto Leva eu na mochila pra qualquer lugar que quiser nesse mundo Se quiser mais espaço, eu levo você pra Lua Leonardo da Vinci só pintou Monalisa porque ele nunca te viu nua', 'Se um dia quiser ir embora, vai, mas me leva junto Leva eu na mochila pra qualquer lugar que quiser nesse mundo Se quiser mais espaço, eu levo você pra Lua Leonardo da Vinci pintou Monalisa porque nunca te viu nua']"
13,58,13_santo_deus_jesus_senhor,"['santo', 'deus', 'jesus', 'senhor', 'cantar', 'vamos', 'escolhi', 'viver', 'céu', 'aparecida']","['Caminha que Jesus te dá mais força Caminha que Jesus provê o pão O barco pode estar balançando Mas Jesus está guiando a embarcação Caminha que Jesus é livramento Caminha que ele mesmo sopra o vento Está tirando os pedregulhos do caminho Só pra você passar', 'Caminha que Jesus te dá mais força Caminha que Jesus provê o pão O barco pode estar balançando Mas Jesus está guiando a embarcação Caminha que Jesus é livramento Caminha que ele mesmo sopra o vento Está tirando os pedregulhos do caminho Só pra você passar Então canta', 'Desse lado aqui, tu podes prosseguir Do lado de lá, você pode dançar Aqui na minha frente, tu pode passear O céu é teu, é teu e você pode andar E um corpo glorificado eu vou receber Nos braços de Jesus eu vou adorar Daqui a pouco a trombeta vai tocar E olhando nos seus olhos eu irei cantar Santo, Santo, Santo (ooh) Imagino o coral todos nós iremos cantar Santo, Santo, Santo Que lindo coral todos nós iremos cantar']"
14,54,14_quantos_quantas_flor_deu valor,"['quantos', 'quantas', 'flor', 'deu valor', 'vale pena', 'valor deu', 'amor fiz', 'vale', 'valor', 'cor']","['Você não deu valor Você não deu valor Não deu valor, não deu valor Amei demais, agora não quero mais nem saber Deixa as outras aproveitarem por você', 'Flor, pra onde foi você, flor? Com seu perfume de amor O que é que eu fiz de ruim? Eu não achei outra flor com a beleza e a cor Que tem você pra mim', 'Flor, pra onde foi você, flor? Com seu perfume de amor O que é que eu fiz de ruim? Eu não achei outra flor Com a beleza e a cor Que tem você pra mim']"
15,44,15_corre_vem_chance passa_perde tempo,"['corre', 'vem', 'chance passa', 'perde tempo', 'escapa', 'corre chance', 'intimidade', 'balanço', 'tomar', 'pé']","['Melhor você chamar o Uber E dormir na sua casa E vai que cê dorme na minha e acorda com uma saudade a mais do que cê tava Eu também não tô cem por cento Tô colando as quebrada de cara Nós somos dois disponíveis, mas com cicatrizes não cicatrizadas O medo que eu tô de outros traumas', 'Outra dessa, cê não acha Olha como ela te abraça (Olha como ela te abraça) E você ganhou de graça Corre, que essa chance passa Corre, senão ela escapa', 'Outra dessa, cê não acha Olha como ela te abraça E você ganhou de graça Corre, que essa chance passa Corre, senão ela escapa']"
16,40,16_amo_amo amo_palavras_ser feliz,"['amo', 'amo amo', 'palavras', 'ser feliz', 'tanto nem', 'dane', 'feliz', 'sinto', 'existe vida', 'sei existe']","['Eu te quero tanto, mas você nem liga Sei que ainda existe alguém em sua vida Mas se lembre que ninguém Vai te amar como eu te amo Eu te quero e não quero nada em troca É tão bom poder estar a sua volta Me dê uma chance que não vai se arrepender Ah, como eu amo', 'Eu te quero tanto, mas você nem liga Sei que ainda existe alguém em sua vida Mas se lembre que ninguém Vai te amar como eu te amo Eu te quero e não quero nada em troca É tão bom poder estar a sua volta Me dê uma chance que não vai se arrepender Ah, como eu amo você', 'Eu te quero tanto, mas você nem liga, Sei que ainda existe alguém em sua vida Mas se lembre que ninguém Vai te amar como eu te amo Eu te quero e não quero nada em troca É tão bom poder estar a sua volta Me dê uma chance que não vai se arrepender Ah, como eu amo você']"
17,40,17_doer_seja_depois_rir,"['doer', 'seja', 'depois', 'rir', 'dois', 'vão', 'saudade', 'melhor', 'seja feliz', 'depois arrepender']","['Quando o amor invade não podemos perder tempo Quero nossos filhos, vê-los crescendo 10, 20, 30 anos vão se passar e eu vou ter aprendido tanto Um dia sentaremos bem de frente ao oceano Vamos rir de uma cara que chamava Fernando Vai ser só nós dois e o que vem depois Não tô nem aí o que eu preciso eu tenho aqui', 'Só quero que você seja feliz Com ou sem mim E quando der saudade e for dormir Com ou sem mim E quando perceber que eu não tô E que não vai achar um novo amor Vai ter que aceitar que é assim Com ou sem mim', 'Só quero que você seja feliz Com ou sem mim E quando der saudade e for dormir Com ou sem mim E quando perceber que eu não tô E que não vai achar um outro amor Vai ter que aceitar que é assim Com ou sem mim']"
18,39,18_solidão_amanhã_hora_faltar,"['solidão', 'amanhã', 'hora', 'faltar', 'amanhã tudo', 'chega', 'perto', 'chega perto', 'fim amor', 'melhor']","['Amanhã Solidão vai estar no seu peito E voltar, desculpa, não vai ter jeito, não Você brincou com o meu coração Fique com a solidão Fique com a solidão Amanhã', 'Chega mais perto Vai, quero te encontrar Quero saber onde você está Chega mais perto Vai, quero te ouvir falar Falar de amor, pra quem não sabe amar Não quero mais saber de nada Nem mesmo te deixar e fugir na hora errada Entenda a melhor saída É te ter de vez na minha vida', 'Chega mais perto Vai, quero te encontrar Quero saber onde você está Chega mais perto Vai, quero te ouvir falar Falar de amor pra quem não sabe amar Não quero mais saber de nada Nem mesmo te deixar e fugir na hora errada Entenda a melhor saída É te ter de vez na minha vida']"
19,38,19_sobrou_sertão_bão_enganou,"['sobrou', 'sertão', 'bão', 'enganou', 'sabe dia', 'flor', 'feriu', 'voz amor', 'amor esquecido', 'tudo tempo']","['Parou, passou, se foi sua paixão Você tirou, zoou, feriu meu coração Você já sabe, um dia você que riu de mim Pode chorar amargamente pedindo pra ser feliz', 'Só o silêncio ficou entre nós A indiferença calou nossa voz O nosso amor foi ficando esquecido Só a tristeza sorriu pra nós dois A felicidade ficou pra depois Pena que tudo foi tempo perdido', 'Só o silencio ficou entre nós A indiferença calou nossa voz O nosso amor foi ficando esquecido Só a tristeza sorriu pra nós dois A felicidade ficou pra depois Pena que tudo foi tempo perdido']"
20,38,20_repetir_saudade_odeia_arrepia,"['repetir', 'saudade', 'odeia', 'arrepia', 'faz', 'ruim', 'boate louco', 'semana boate', 'louco ninguém', 'ninguém satisfaz']","['E um beijo seu pesa mais, muito mais Que um fim de semana na boate louco E que ninguém satisfaz, não faz A mágica que você faz no meu corpo Eu perdi tudo, mas ganhei em dobro, aiai, aiai', 'E um beijo seu pesa mais, e muito mais Que um fim de semana na boate louco E que ninguém satisfaz, não faz A mágica que você faz com meu corpo', 'E um beijo seu pesa mais, muito mais Que um fim de semana na boate louco E que ninguém satisfaz, não faz A mágica que você faz no meu corpo']"
21,37,21_obreiro_boi_papel_olhar,"['obreiro', 'boi', 'papel', 'olhar', 'cara', 'trem', 'rio', 'rosto', 'começou', 'mão']","['Eu esbarrei no seu olhar Tropecei no seu beijo Colei no seu rosto Eu queimei a língua Foi na ponta do queixo, me acertou de jeito Olha eu na sua vida Pensa, explica, como é que a gente fica?', 'Eu fiz a maior proeza pras bandas do rio da morte Com outro caminhoneiro traquejado no transporte Fui buscar uma vacada para o criador do norte Na chegada eu pressenti que era um dia de sorte Depois do embarque feito, só ficou um boi de corte', 'Eu fiz a maior proeza, pras bandas do rio da morte Com outro caminhoneiro, traquejado no transporte Fui buscar uma vacada para um criador do norte Na chegada eu pressenti que era um dia de sorte Depois do embarque feito só ficou um boi de corte']"
22,37,22_superou_levou_amizade_cadê,"['superou', 'levou', 'amizade', 'cadê', 'amei', 'deu certo', 'prometeu', 'mandou', 'haha', 'falado']","['Já não bastava a gente se encontrar Com tanto lugar nesse mundo Ela pediu ele em casamento O restaurante aplaudiu Tive que bater palma junto', 'É que eu amei demais pra terminar de boa É que eu amei demais pra te ver com outra pessoa Não sou esse tipo de gente que vira a chave de amor pra amizade Amizade é o caralho, como é que vou ser amigo da minha saudade?', 'Eu amei demais pra terminar de boa É que eu amei demais pra te ver com outra pessoa Não sou esse tipo de gente que vira a chave de amor pra amizade Amizade é o caralho, como é que vou ser amigo da minha saudade?']"
23,35,23_acha_coragem_será_colchão,"['acha', 'coragem', 'será', 'colchão', 'salvando', 'esqueço', 'mentirosa', 'cara', 'vivendo', 'tira']","['Cê acha que eu tenho cara de alguém que sofre por alguém Que não tem coração? Se acha não Cê acha que pra te esquecer tô tendo que usar medicação? É, mais ou menos isso, viu?', 'Será que é só medo De eu parecer tão bom pros seus defeitos? Ou será que cê acha Que me valorizando cê vai dar asas pra eu voar? Que eu vou me achar e te largar? Mal cê sabe que fazendo isso aumenta o risco que cê quer evitar', 'Será que é só medo De eu parecer tão bom pros seus defeitos? Ou será que cê acha Que me valorizando cê vai dar asas pra eu voar? Eu vou me achar e te largar? Mal cê sabe que fazendo isso aumenta o risco que cê quer evitar']"
24,34,24_coladinha_imaginar_gole_negócio,"['coladinha', 'imaginar', 'gole', 'negócio', 'lembrei', 'muita', 'bloqueado', 'noite', 'dando porrada', 'pelo jeito']","['Lembrei Que tô bloqueado É muita raiva misturada com tristeza Olha eu chorando e dando porrada na mesa', 'Me dá um negócio só de imaginar Você fazendo assim Coladinha em mim Coladinha em mim A noite toda, toda a noite só em mim', 'Me dá um negócio só de imaginar Você fazendo assim Coladinha em mim Coladinha em mim A noite toda só em mim']"
25,33,25_dois_amamos_juntos_final,"['dois', 'amamos', 'juntos', 'final', 'voltas', 'final feliz', 'nenhum', 'erros', 'somos', 'relação']","['Que sentimos, nas coisas que falamos E nos beijos que trocamos descobrimos Que a felicidade só depende de nós dois Vivendo juntos por isso a impressão Que em outra ocasião, nós nos amamos Amamos com sinceridade', 'Pode ficar aqui, sou eu quem vou partir O que a gente construiu não é preciso dividir Fizemos tantos planos, compramos tantas coisas Mas o amor é longe disso Precisamos de um tempo em relação a nós dois Depois decidimos o final, espero que seja um final feliz', 'Fizemos tantos planos, compramos tantas coisas Mas o amor é longe disso Precisamos de um tempo em relação a nós dois Depois decidimos o final, espero que seja um final feliz']"
26,31,26_garrafa_tarde_acabando_tomo,"['garrafa', 'tarde', 'acabando', 'tomo', 'cheirosa', 'saudade', 'hoje dia', 'trabalho', 'falta', 'gelada']","['Quando falta um poquin pra esquecer Tomo um golin pra lembrar A garrafa acabou e eu aqui Baqueado de tanto chorar', 'Quando falta um poquin pra esquecer Eu tomo um golin pra lembrar A garrafa acabando eu aqui Me acabando de tanto chorar', 'Quando falta um poquin pra esquecer Eu tomo um golin pra lembrar A garrafa acabou e eu aqui Me acabando de tanto chorar']"
27,30,27_diga_saída_sim_diga sim,"['diga', 'saída', 'sim', 'diga sim', 'difícil viver', 'sumir vida', 'solidão', 'paz coração', 'nessa', 'única']","['Eu vou dar paz pro coração Nessa solidão tá difícil viver Vou sumir da sua vida A única saída é ter que esquecer', 'Vou dar paz pro coração Nessa solidão tá difícil viver Vou sumir da sua vida A única saída é ter que esquecer', 'Vou dar paz pro coração Nessa solidão tá difícil viver Eu vou sumir da sua vida A única saída é ter que esquecer']"
28,28,28_levou_pedaço_lembrar_10,"['levou', 'pedaço', 'lembrar', '10', 'amou', 'falta', 'possa', 'pedaço mim', 'saudade ser', 'saudade']","['Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui', 'Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui Um pedaço de mim Um pedaço de mim', 'Faz falta ser a falta de alguém Dá saudade ser a saudade de alguém Você levou um pedaço do meu coração que eu sei Só quero saber quando vai se decidir Quando você vai resolver voltar enfim E devolver o que levou daqui Um pedaço de mim']"
29,28,29_vale_risco_ponto_senta aqui,"['vale', 'risco', 'ponto', 'senta aqui', 'senta', 'curtição', 'todo mundo', 'meio', 'andado', 'marcar']","['Aí que mora o perigo, aí que eu caio lindo Aí que eu sei das consequências, mesmo assim vou indo É que vale a pena, vale a cama, vale o risco O que é um arranhão pra quem já tá fudido?', 'Já tá meio caminho andado Se parar, é prejuízo Entre uma noite e outra Eu vou correndo o risco de quebrar a cara Pra quem já teve um coração quebrado Um trincadinho é nada', 'Já tá meio caminho andado Se parar, é prejuízo Entre uma noite e outra Eu vou correndo o risco de quebrar a cara Pra quem já teve um coração quebrado Um trincadinho não é nada']"
30,28,30_chove_sentir saudade_saudade_será,"['chove', 'sentir saudade', 'saudade', 'será', 'invadem', 'lavar', 'esta saudade', 'for embora', 'peito', 'contar']","['Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Lava do meu peito as lembranças que me invadem Por favor', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Por favor']"
31,26,31_sinto saudade_lembra_fiquei_ciúme,"['sinto saudade', 'lembra', 'fiquei', 'ciúme', 'duvido', 'sinto', 'homi', 'descartável', 'lembra daquele', 'saudade']","['Você me pisou igual se pisa em bituca de cigarro Você me usou como se o meu amor fosse descartável Agora eu tô no bar do Araújo bebendo de tudo Olhando as fotos dela no meu telefone', 'Sinto saudade da nossa primeira vez no parque de diversão Eu tava com medo de ir no brinquedo e você segurou minha mão Sinto saudade do nosso cinema, da cena do beijo roubado Do frio na barriga e a mão gelada sabendo que tava ao seu lado', 'Você se lembra que quase enlouqueci de saudade de você Você toda se achando, me esnobava e nem queria saber Quebrou a cara mais uma vez com alguém que queria curtição Agora vem toda dengosa, carinhosa, implorando meu perdão Se você acha que implorando meu amor, eu vou te perdoar Pode ir tirando seu cavalinho da chuva, senão ele vai molhar Meu coração está com o sinal fechado no vermelho pra você Desaparece, porque a partir de agora eu não quero mais te ver']"
32,26,32_ser gente_sabia_gente ser_parava,"['ser gente', 'sabia', 'gente ser', 'parava', 'deixava', 'mente', 'sofrer', 'lentamente', 'dava', 'queria']","['Eu não sabia Que a sua boca mente Eu só queria O teus beijos lentamente', 'Eu não sabia (eu não sabia) Que a sua boca mente Eu só queria Os teus beijos lentamente', 'Não era pra ser a gente Não era pra ser a gente Não era pra ser a gente']"
33,26,33_deixe_sei sei_amor juro_deixe aqui,"['deixe', 'sei sei', 'amor juro', 'deixe aqui', 'favor escute', 'sol aparecer', 'amar outra', 'opinião', 'estrela', 'mesmo sol']","['Estrela, por favor escute o que eu vou falar Quero te amar, mesmo que o Sol aparecer Eu não vou mudar mais de opinião Não me deixe aqui no chão Estrela do meu coração', 'Estrela, por favor escute o que eu vou falar Quero te amar mesmo que o Sol aparecer Eu não vou mudar mais de opinião Não me deixe aqui no chão', 'Estrela, por favor escute o que eu vou falar Quero te amar, mesmo que o Sol aparecer Eu não vou mudar mais de opinião Não me deixe aqui no chão']"
